order_id,customer_id,product_name,category,quantity,unit_price,total_revenue,cost,profit,order_date,customer_type
1001,C001,Wireless Headphones,Electronics,2,89.99,179.98,120.00,59.98,2024-01-15,Premium
1002,C002,Running Shoes,Footwear,1,129.99,129.99,85.00,44.99,2024-01-16,Regular
1003,C003,Coffee Maker,Appliances,1,199.99,199.99,140.00,59.99,2024-01-17,Premium
1004,C001,Bluetooth Speaker,Electronics,1,79.99,79.99,50.00,29.99,2024-01-18,Premium
1005,C004,Yoga Mat,Fitness,2,39.99,79.98,48.00,31.98,2024-01-19,Regular
1006,C005,Laptop Stand,Electronics,1,49.99,49.99,30.00,19.99,2024-01-20,Regular
1007,C002,Water Bottle,Fitness,3,24.99,74.97,45.00,29.97,2024-01-21,Regular
1008,C006,Smart Watch,Electronics,1,299.99,299.99,200.00,99.99,2024-01-22,Premium
1009,C007,Desk Lamp,Furniture,1,89.99,89.99,60.00,29.99,2024-01-23,Regular
1010,C003,Protein Powder,Health,2,49.99,99.98,60.00,39.98,2024-01-24,Premium
1011,C008,Gaming Mouse,Electronics,1,69.99,69.99,45.00,24.99,2024-01-25,Regular
1012,C009,Air Fryer,Appliances,1,149.99,149.99,100.00,49.99,2024-01-26,Premium
1013,C010,Book Set,Books,5,19.99,99.95,75.00,24.95,2024-01-27,Regular
1014,C004,Resistance Bands,Fitness,1,29.99,29.99,18.00,11.99,2024-01-28,Regular
1015,C011,Tablet Case,Electronics,2,34.99,69.98,42.00,27.98,2024-01-29,Regular
1016,C012,Essential Oils,Health,3,24.99,74.97,45.00,29.97,2024-01-30,Premium
1017,C001,Phone Charger,Electronics,4,19.99,79.96,40.00,39.96,2024-02-01,Premium
1018,C013,Kitchen Scale,Appliances,1,39.99,39.99,25.00,14.99,2024-02-02,Regular
1019,C014,Backpack,Fashion,1,79.99,79.99,50.00,29.99,2024-02-03,Regular
1020,C015,Sunglasses,Fashion,2,59.99,119.98,72.00,47.98,2024-02-04,Premium
